t,Position,v_Vel,v_Acc
0.000000,-40.423795,3.157728,-3.413760
0.100000,-40.213178,2.401824,-3.413760
0.200000,-40.065046,1.578864,-3.413760
0.300000,-39.979702,0.865632,-3.413760
0.400000,-39.946174,0.362712,-3.413760
0.500000,-39.954098,0.097536,-1.313688
0.600000,-39.954098,0.000000,0.000000
0.700000,-39.954098,0.000000,0.000000
0.800000,-39.954098,0.000000,0.000000
0.900000,-39.954098,0.000000,0.000000
1.000000,-39.954098,0.000000,0.000000
1.100000,-39.954098,0.000000,0.000000
1.200000,-39.954098,0.000000,0.000000
1.300000,-39.954098,0.000000,0.000000
1.400000,-39.954098,0.000000,0.000000
1.500000,-39.954098,0.000000,0.000000
1.600000,-39.954098,0.000000,0.000000
1.700000,-39.954098,0.000000,0.000000
1.800000,-39.954098,0.000000,0.000000
1.900000,-39.954098,0.000000,0.000000
2.000000,-39.954098,0.000000,0.000000
2.100000,-39.954098,0.000000,0.000000
2.200000,-39.954098,0.000000,0.000000
2.300000,-39.954098,0.000000,0.000000
2.400000,-39.954098,0.000000,0.000000
2.500000,-39.954098,0.000000,0.000000
2.600000,-39.954098,0.000000,0.000000
2.700000,-39.954098,0.000000,0.000000
2.800000,-39.954098,0.000000,0.000000
2.900000,-39.954098,0.000000,0.000000
3.000000,-39.954098,0.000000,0.000000
3.100000,-39.954098,0.000000,0.000000
3.200000,-39.954098,0.000000,0.000000
3.300000,-39.954098,0.000000,0.000000
3.400000,-39.954098,0.000000,0.000000
3.500000,-39.954098,0.000000,0.000000
3.600000,-39.954098,0.000000,0.000000
3.700000,-39.954098,0.000000,0.000000
3.800000,-39.954098,0.000000,0.000000
3.900000,-39.954098,0.000000,0.000000
4.000000,-39.954098,0.000000,0.000000
4.100000,-39.954098,0.000000,0.000000
4.200000,-39.954098,0.000000,0.000000
4.300000,-39.954098,0.000000,0.000000
4.400000,-39.954098,0.000000,0.000000
4.500000,-39.954098,0.000000,0.000000
4.600000,-39.954098,0.000000,0.000000
4.700000,-39.954098,0.000000,0.000000
4.800000,-39.954098,0.000000,0.000000
4.900000,-39.954098,0.000000,0.000000
5.000000,-39.954098,0.000000,0.000000
5.100000,-39.954098,0.000000,0.000000
5.200000,-39.954098,0.000000,0.000000
5.300000,-39.954098,0.000000,0.000000
5.400000,-39.954098,0.000000,0.000000
5.500000,-39.954098,0.000000,0.000000
5.600000,-39.954098,0.000000,0.000000
5.700000,-39.954098,0.000000,0.000000
5.800000,-39.954098,0.000000,0.000000
5.900000,-39.954098,0.000000,0.000000
6.000000,-39.954098,0.000000,0.000000
6.100000,-39.954098,0.000000,0.000000
6.200000,-39.954098,0.000000,0.000000
6.300000,-39.954098,0.000000,0.000000
6.400000,-39.954098,0.000000,0.000000
6.500000,-39.954098,0.000000,0.000000
6.600000,-39.954098,0.000000,0.000000
6.700000,-39.954098,0.000000,0.000000
6.800000,-39.954098,0.000000,0.000000
6.900000,-39.954098,0.000000,0.000000
7.000000,-39.954098,0.000000,0.000000
7.100000,-39.954098,0.000000,0.000000
7.200000,-39.954098,0.000000,0.000000
7.300000,-39.954098,0.000000,0.000000
7.400000,-39.954098,0.000000,0.000000
7.500000,-39.954098,0.000000,0.000000
7.600000,-39.954098,0.000000,0.000000
7.700000,-39.954098,0.000000,0.000000
7.800000,-39.954098,0.000000,0.000000
7.900000,-39.954098,0.000000,0.000000
8.000000,-39.954098,0.000000,0.000000
8.100000,-39.954098,0.000000,0.000000
8.200000,-39.954098,0.000000,0.000000
8.300000,-39.954098,0.000000,0.000000
8.400000,-39.954098,0.000000,0.000000
8.500000,-39.954098,0.000000,0.000000
8.600000,-39.954098,0.000000,0.000000
8.700000,-39.954098,0.000000,0.000000
8.800000,-39.954098,0.000000,0.000000
8.900000,-39.954098,0.000000,0.000000
9.000000,-39.954098,0.000000,0.000000
9.100000,-39.954098,0.000000,0.000000
9.200000,-39.954098,0.000000,0.000000
